Time,Ws_name,Message
2024-03-15 11:00:00,Tradestation WS,"Heartbeat:32, Timestamp:2024-03-15T10:00:01Z"
2024-03-15 11:00:05,Volumetrica WS,Pong: {}
2024-03-15 11:00:05,Tradestation WS,"Heartbeat:33, Timestamp:2024-03-15T10:00:06Z"
2024-03-15 11:00:10,Volumetrica WS,Pong: {}
2024-03-15 11:00:10,Tradestation WS,"Heartbeat:34, Timestamp:2024-03-15T10:00:11Z"
2024-03-15 11:00:15,Volumetrica WS,Pong: {}
2024-03-15 11:00:15,Tradestation WS,"Heartbeat:35, Timestamp:2024-03-15T10:00:16Z"
2024-03-15 11:00:20,Volumetrica WS,Pong: {}
2024-03-15 11:00:20,Tradestation WS,"Heartbeat:36, Timestamp:2024-03-15T10:00:21Z"
2024-03-15 11:00:25,Volumetrica WS,Pong: {}
2024-03-15 11:00:25,Tradestation WS,"Heartbeat:37, Timestamp:2024-03-15T10:00:26Z"
2024-03-15 11:00:30,Volumetrica WS,Pong: {}
2024-03-15 11:00:30,Tradestation WS,"Heartbeat:38, Timestamp:2024-03-15T10:00:31Z"
2024-03-15 11:00:35,Volumetrica WS,Pong: {}
2024-03-15 11:00:35,Tradestation WS,"Heartbeat:39, Timestamp:2024-03-15T10:00:36Z"
2024-03-15 11:00:40,Volumetrica WS,Pong: {}
2024-03-15 11:00:40,Tradestation WS,"Heartbeat:40, Timestamp:2024-03-15T10:00:41Z"
2024-03-15 11:00:45,Volumetrica WS,Pong: {}
2024-03-15 11:00:45,Tradestation WS,"Heartbeat:41, Timestamp:2024-03-15T10:00:46Z"
2024-03-15 11:00:50,Volumetrica WS,Pong: {}
2024-03-15 11:00:50,Tradestation WS,"Heartbeat:42, Timestamp:2024-03-15T10:00:51Z"
2024-03-15 11:00:55,Volumetrica WS,Pong: {}
2024-03-15 11:00:55,Tradestation WS,"Heartbeat:43, Timestamp:2024-03-15T10:00:56Z"
2024-03-15 11:01:00,Volumetrica WS,Pong: {}
2024-03-15 11:01:00,Tradestation WS,"Heartbeat:44, Timestamp:2024-03-15T10:01:01Z"
2024-03-15 11:01:05,Volumetrica WS,Pong: {}
2024-03-15 11:01:05,Tradestation WS,"Heartbeat:45, Timestamp:2024-03-15T10:01:06Z"
2024-03-15 11:01:10,Volumetrica WS,Pong: {}
2024-03-15 11:01:10,Tradestation WS,"Heartbeat:46, Timestamp:2024-03-15T10:01:11Z"
2024-03-15 11:01:15,Volumetrica WS,Pong: {}
2024-03-15 11:01:15,Tradestation WS,"Heartbeat:47, Timestamp:2024-03-15T10:01:16Z"
2024-03-15 11:01:20,Volumetrica WS,Pong: {}
2024-03-15 11:01:20,Tradestation WS,"Heartbeat:48, Timestamp:2024-03-15T10:01:21Z"
2024-03-15 11:01:25,Tradestation WS,"Heartbeat:49, Timestamp:2024-03-15T10:01:26Z"
2024-03-15 11:01:25,Volumetrica WS,Pong: {}
2024-03-15 11:01:30,Tradestation WS,"Heartbeat:50, Timestamp:2024-03-15T10:01:31Z"
2024-03-15 11:01:30,Volumetrica WS,Pong: {}
2024-03-15 11:01:35,Tradestation WS,"Heartbeat:51, Timestamp:2024-03-15T10:01:36Z"
2024-03-15 11:01:35,Volumetrica WS,Pong: {}
2024-03-15 11:01:40,Tradestation WS,"Heartbeat:52, Timestamp:2024-03-15T10:01:41Z"
2024-03-15 11:01:40,Volumetrica WS,Pong: {}
2024-03-15 11:01:45,Tradestation WS,"Heartbeat:53, Timestamp:2024-03-15T10:01:46Z"
2024-03-15 11:01:45,Volumetrica WS,Pong: {}
2024-03-15 11:01:50,Tradestation WS,"Heartbeat:54, Timestamp:2024-03-15T10:01:51Z"
2024-03-15 11:01:50,Volumetrica WS,Pong: {}
2024-03-15 11:01:55,Tradestation WS,"Heartbeat:55, Timestamp:2024-03-15T10:01:56Z"
2024-03-15 11:01:55,Volumetrica WS,Pong: {}
2024-03-15 11:02:00,Tradestation WS,"Heartbeat:56, Timestamp:2024-03-15T10:02:01Z"
2024-03-15 11:02:00,Volumetrica WS,Pong: {}
2024-03-15 11:02:05,Tradestation WS,"Heartbeat:57, Timestamp:2024-03-15T10:02:06Z"
2024-03-15 11:02:05,Volumetrica WS,Pong: {}
2024-03-15 11:02:10,Tradestation WS,"Heartbeat:58, Timestamp:2024-03-15T10:02:11Z"
2024-03-15 11:02:10,Volumetrica WS,Pong: {}
2024-03-15 11:02:15,Tradestation WS,"Heartbeat:59, Timestamp:2024-03-15T10:02:16Z"
2024-03-15 11:02:15,Volumetrica WS,Pong: {}
2024-03-15 11:02:20,Tradestation WS,"Heartbeat:60, Timestamp:2024-03-15T10:02:21Z"
2024-03-15 11:02:20,Volumetrica WS,Pong: {}
2024-03-15 11:02:25,Tradestation WS,"Heartbeat:61, Timestamp:2024-03-15T10:02:26Z"
2024-03-15 11:02:25,Volumetrica WS,Pong: {}
2024-03-15 11:02:30,Tradestation WS,"Heartbeat:62, Timestamp:2024-03-15T10:02:31Z"
2024-03-15 11:02:30,Volumetrica WS,Pong: {}
2024-03-15 11:02:35,Tradestation WS,"Heartbeat:63, Timestamp:2024-03-15T10:02:36Z"
2024-03-15 11:02:35,Volumetrica WS,Pong: {}
2024-03-15 11:02:40,Tradestation WS,"Heartbeat:64, Timestamp:2024-03-15T10:02:41Z"
2024-03-15 11:02:40,Volumetrica WS,Pong: {}
2024-03-15 11:02:45,Tradestation WS,"Heartbeat:65, Timestamp:2024-03-15T10:02:46Z"
2024-03-15 11:02:45,Volumetrica WS,Pong: {}
2024-03-15 11:02:50,Tradestation WS,"Heartbeat:66, Timestamp:2024-03-15T10:02:51Z"
2024-03-15 11:02:50,Volumetrica WS,Pong: {}
2024-03-15 11:02:55,Tradestation WS,"Heartbeat:67, Timestamp:2024-03-15T10:02:56Z"
2024-03-15 11:02:55,Volumetrica WS,Pong: {}
2024-03-15 11:03:00,Tradestation WS,"Heartbeat:68, Timestamp:2024-03-15T10:03:01Z"
2024-03-15 11:03:00,Volumetrica WS,Pong: {}
2024-03-15 11:03:05,Tradestation WS,"Heartbeat:69, Timestamp:2024-03-15T10:03:06Z"
2024-03-15 11:03:05,Volumetrica WS,Pong: {}
2024-03-15 11:03:10,Tradestation WS,"Heartbeat:70, Timestamp:2024-03-15T10:03:11Z"
2024-03-15 11:03:10,Volumetrica WS,Pong: {}
2024-03-15 11:03:15,Tradestation WS,"Heartbeat:71, Timestamp:2024-03-15T10:03:16Z"
2024-03-15 11:03:15,Volumetrica WS,Pong: {}
2024-03-15 11:03:20,Tradestation WS,"Heartbeat:72, Timestamp:2024-03-15T10:03:21Z"
2024-03-15 11:03:21,Volumetrica WS,Pong: {}
2024-03-15 11:03:25,Tradestation WS,"Heartbeat:73, Timestamp:2024-03-15T10:03:26Z"
2024-03-15 11:03:26,Volumetrica WS,Pong: {}
2024-03-15 11:03:30,Tradestation WS,"Heartbeat:74, Timestamp:2024-03-15T10:03:31Z"
