Time,ContractId,OpenPrice,DailyBought,DailySold,DailyPl,HasOpenPl,DailyCommissions,SnapType,AccNumber,FeedSymbol
2024-03-21 20:20:37.093626,9,18596.5,7,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:38.161808,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:38.168404,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:38.941145,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:39.746909,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:40.244432,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:40.810119,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:41.599944,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:42.099779,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:42.399655,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:42.905137,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:43.200512,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:44.754279,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:45.305794,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:46.107480,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:46.658214,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:47.410529,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:47.710550,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:48.211543,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:48.513162,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:49.019062,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
2024-03-21 20:20:49.315935,9,18596.0,8,6,105.0,True,12.0,2,9,/NQM24:XCME
